n_clusters,inertia,silhouette_score
2,135609394.5997561,0.10097717493772507
3,127725209.27020806,0.07533153146505356
4,121774180.28139803,0.07696153968572617
5,118136000.2034177,0.06731625646352768
6,114709877.08996364,0.06414226442575455
7,112455327.59973648,0.05737636238336563
8,110966206.71459498,0.05484390631318092
9,108239056.95984304,0.05430986359715462
10,108296839.22424969,0.04963845759630203
11,106179853.15947318,0.04889596626162529
12,104576336.63260497,0.046854760497808456
13,104369407.36581475,0.0455627515912056
14,102380700.12128806,0.049351874738931656
15,100930296.02496833,0.04991203546524048
16,100773352.54177475,0.043019849807024
17,99943693.71110848,0.04230646789073944
18,98602534.67301475,0.04293898865580559
19,98228960.02879407,0.04189711809158325
20,97599115.53893821,0.039373625069856644
21,99436682.24331352,0.037920188158750534
22,100401308.99004397,0.025907183066010475
23,98276640.04132357,0.03859095275402069
24,95810171.07312237,0.03899151831865311
25,95290895.94573066,0.03535262867808342
26,94704966.9055668,0.037413060665130615
27,94299335.29837118,0.034286580979824066
28,94192305.59469432,0.0384037084877491
29,93926476.9676014,0.03372793272137642
30,96271896.94230382,0.03354782611131668
31,92832768.85587607,0.037126876413822174
32,97020580.20020197,0.009387928061187267
33,92196372.7785321,0.03631050884723663
34,92133637.8365572,0.02147221565246582
35,92089016.73170817,0.03359285369515419
36,90971603.21423395,0.038424301892519
37,91666060.13287605,0.03129002824425697
38,91463036.50383459,0.02432277426123619
39,90407650.65786617,0.03317113593220711
40,90491443.90982947,0.029985805973410606
41,89821366.0933771,0.03552722930908203
42,90093775.31049298,0.036823224276304245
43,89660793.84879853,0.03621530160307884
44,89664491.61472054,0.03166928142309189
45,89586079.00148518,0.031491346657276154
46,88881348.537016,0.027992265298962593
47,88929879.42751579,0.02338486537337303
48,88918359.08166784,0.03320177644491196
49,88183532.82511403,0.03194021061062813
50,88088307.9566831,0.03334316611289978
51,88245345.85638812,-0.0010821543401107192
52,88036326.93654175,0.03216958045959473
53,88752922.5188282,0.008974702097475529
54,87979391.27283353,0.024250851944088936
55,87926987.8231964,0.025074249133467674
56,87374679.26246454,0.012128095142543316
57,87314851.41709737,0.016327057033777237
58,86478835.48610812,0.02018771879374981
59,86585322.50460339,0.024196237325668335
60,86435701.80645387,0.027337223291397095
61,86457941.32417777,0.02740800380706787
62,86763610.92356575,0.016482410952448845
63,86824366.68669651,0.02693561092019081
64,85914723.36391367,0.014730101451277733
65,86615259.75329566,0.01990610361099243
66,85959210.91344187,0.018308626487851143
67,85649568.73106821,0.02635485865175724
68,86565135.61379689,0.008952540345489979
69,85388494.62091124,0.01718892902135849
70,85893356.44599812,0.014698480255901814
71,85493074.6409166,0.014593753963708878
72,90725534.00497018,-0.007966827601194382
73,85039966.75241439,0.0130944037809968
74,84620580.36797501,0.027457013726234436
75,85141265.42190747,0.00037955123116262257
76,90841520.56217292,0.01608668640255928
77,90814806.89727402,-0.0056644100695848465
78,84959488.4371228,0.005683621857315302
79,84660948.5967484,0.011968902312219143
80,85030314.43582974,-0.006023185793310404
81,85009757.35395145,0.001979692606255412
82,84807740.12647513,0.008671000599861145
83,84215268.463865,0.00739706214517355
84,83727490.42393652,0.005105982068926096
85,84572063.42871265,-0.0014547186437994242
86,84597762.08767225,-0.007772831246256828
87,83606621.11162946,0.011925578117370605
88,83354849.25960647,-0.0006371555500663817
89,84232440.34509511,-0.023237019777297974
90,83331228.13905486,0.009458870626986027
91,84522114.37465729,-0.011556210927665234
92,83791299.74892578,-0.0002024980349233374
93,83671518.56035963,-0.01347467489540577
94,83227814.78165308,-0.005437839776277542
95,83587364.45811115,0.007011769339442253
96,84160809.84288807,-0.022551609203219414
97,82670271.44910753,-0.0006380333215929568
98,82629747.86718768,0.005129335448145866
99,83008054.49750553,-0.01116572879254818
100,82472738.62997524,-0.002896128920838237
